Number,User,ID,Shape,Definer
1,AmyLien,79557134,Other,Nothing found
2,AmyLien,80936958,Simple Pulse,Nothing found
3,AmyLien,80936969,Simple Pulse,Nothing found
4,AmyLien,80936939,Simple Pulse,Nothing found
5,gethralkin,80937238,Other,Rapid Varying pulses
6,gethralkin,80936944,Simple Pulse,Nothing found
7,gethralkin,80937112,Extended Emmissions,Underlying emission
8,gethralkin,80936960,Other,Nothing found
9,gethralkin,80937157,Other,Underlying emission
10,gethralkin,80937026,Other,Underlying emission
11,gethralkin,80937135,Simple Pulse,Underlying emission
12,gethralkin,80937233,Simple Pulse,Nothing found
13,gethralkin,80936954,Extended Emmissions,Underlying emission
14,gethralkin,80937048,Extended Emmissions,Underlying emission
15,gethralkin,80937015,Extended Emmissions,Underlying emission
16,gethralkin,80937262,Simple Pulse,Nothing found
17,gethralkin,80937161,Other,Underlying emission
18,gethralkin,80936947,Other,Underlying emission
19,gethralkin,80937131,Simple Pulse,Nothing found
20,gethralkin,80937001,Extended Emmissions,Underlying emission
21,gethralkin,80936892,Extended Emmissions,Underlying emission
22,gethralkin,80937266,Simple Pulse,Nothing found
23,gethralkin,80937077,Simple Pulse,Underlying emission
24,gethralkin,80937033,Other,Underlying emission
25,gethralkin,80936905,Other,Underlying emission
26,gethralkin,80937198,Extended Emmissions,Underlying emission
27,gethralkin,80937139,Other,Underlying emission
28,gethralkin,80937108,Simple Pulse,Underlying emission
29,gethralkin,80936995,Other,Underlying emission
30,gethralkin,80937104,Extended Emmissions,Underlying emission
31,gethralkin,80937243,Extended Emmissions,Underlying emission
32,gethralkin,80937234,Extended Emmissions,Underlying emission
33,gethralkin,80937074,Other,Underlying emission
34,gethralkin,80936951,Other,Underlying emission
35,gethralkin,80936969,Simple Pulse,Nothing found
36,gethralkin,80936993,Extended Emmissions,Underlying emission
37,gethralkin,80937208,Simple Pulse,Nothing found
38,Sovanacharya,80937094,Extended Emmissions,Rapid Varying pulses
39,Sovanacharya,80936975,Simple Pulse,Rapid Varying pulses
40,Sovanacharya,80937262,Extended Emmissions,Underlying emission
41,Sovanacharya,80937174,Extended Emmissions,Nothing found
42,Sovanacharya,80936995,Simple Pulse,Rapid Varying pulses
43,Sovanacharya,80937057,Extended Emmissions,Rapid Varying pulses
44,Sovanacharya,80936980,Extended Emmissions,Rapid Varying pulses
45,Sovanacharya,80937108,Simple Pulse,Rapid Varying pulses
46,Sovanacharya,80936905,Simple Pulse,Rapid Varying pulses
47,Sovanacharya,80937257,Extended Emmissions,Rapid Varying pulses
48,Sovanacharya,80937184,Simple Pulse,Nothing found
49,Sovanacharya,80937085,Extended Emmissions,Rapid Varying pulses
50,Sovanacharya,80937213,Simple Pulse,Nothing found
51,Sovanacharya,80937112,Simple Pulse,Nothing found
52,Sovanacharya,80937196,Other,Rapid Varying pulses
53,Sovanacharya,80936934,Other,Rapid Varying pulses
54,Sovanacharya,80937090,Simple Pulse,Nothing found
55,Sovanacharya,80936986,Simple Pulse,Nothing found
56,Sovanacharya,80937217,Extended Emmissions,Rapid Varying pulses
57,Sovanacharya,80936960,Other,Nothing found
58,Sovanacharya,80937208,Simple Pulse,Nothing found
59,Sovanacharya,80937019,Simple Pulse,Nothing found
60,Sovanacharya,80936993,Extended Emmissions,Underlying emission
61,Sovanacharya,80936947,Other,Rapid Varying pulses
62,Sovanacharya,80937119,Extended Emmissions,Underlying emission
63,Sovanacharya,80937203,Extended Emmissions,Rapid Varying pulses
64,Sovanacharya,80936892,Extended Emmissions,Underlying emission
65,Sovanacharya,80937005,Simple Pulse,Nothing found
66,Sovanacharya,80937157,Extended Emmissions,Nothing found
67,Sovanacharya,80937123,Simple Pulse,Nothing found
68,Sovanacharya,80937100,Simple Pulse,Nothing found
69,Sovanacharya,80937075,Other,Rapid Varying pulses
70,Sovanacharya,80936923,Simple Pulse,Nothing found
71,Sovanacharya,80936929,Simple Pulse,Rapid Varying pulses
72,Sovanacharya,80937032,Extended Emmissions,Underlying emission
73,Sovanacharya,80937135,Extended Emmissions,Underlying emission
74,Sovanacharya,80936951,Simple Pulse,Rapid Varying pulses
75,Sovanacharya,80937233,Simple Pulse,Nothing found
76,Sovanacharya,80936912,Extended Emmissions,Rapid Varying pulses
77,Sovanacharya,80936992,Simple Pulse,Nothing found
78,Sovanacharya,80937104,Other,Rapid Varying pulses
79,Sovanacharya,80937033,Simple Pulse,Nothing found
80,Sovanacharya,80937165,Simple Pulse,Nothing found
81,Sovanacharya,80937073,Extended Emmissions,Nothing found
82,Sovanacharya,80937236,Extended Emmissions,Nothing found
83,Sovanacharya,80937194,Simple Pulse,Nothing found
84,Sovanacharya,80937077,Simple Pulse,Nothing found
85,Sovanacharya,80936955,Simple Pulse,Nothing found
86,Dansky1,80937196,Extended Emmissions,Underlying emission
87,Dansky1,80936905,Other,Underlying emission
88,Dansky1,80936912,Other,Underlying emission
89,Dansky1,80937194,Other,Nothing found
90,Dansky1,80937019,Simple Pulse,Nothing found
91,Dansky1,80937154,Other,Underlying emission
92,Dansky1,80937228,Other,Rapid Varying pulses
93,Dansky1,80937198,Other,Underlying emission
94,Dansky1,80937213,Simple Pulse,Underlying emission
95,Dansky1,80937070,Other,Underlying emission
96,Dansky1,80937116,Simple Pulse,Nothing found
97,Dansky1,80937179,Extended Emmissions,Underlying emission
98,Dansky1,80936910,Other,Nothing found
99,Dansky1,80937100,Simple Pulse,Nothing found
100,AmyLien,84472249,Simple Pulse,Nothing found
101,Sovanacharya,84471727,Extended Emmissions,Fast.R Slow.D
102,Sovanacharya,84471749,Extended Emmissions,Fast.R Slow.D
103,Sovanacharya,84472327,Extended Emmissions,Nothing found
104,Shigeru,84472661,Extended Emmissions,Fast.R Slow.D
105,Dansky1,84472273,Other,Underlying emission
106,Dansky1,84472188,Other,Underlying emission
107,Dansky1,84472706,Simple Pulse,Symmetrical Structure
108,Dansky1,84471734,Simple Pulse,Underlying emission
109,Dansky1,84472755,Simple Pulse,Symmetrical Structure
110,Dansky1,84472643,Other,Underlying emission
111,Dansky1,84472311,Simple Pulse,Symmetrical Structure
112,Dansky1,84471887,Other,Underlying emission
113,Dansky1,84472378,Simple Pulse,Symmetrical Structure
114,Dansky1,84472303,Other,Underlying emission
115,Dansky1,84471625,Other,Rapid Varying pulses
116,Dansky1,84472482,Other,Underlying emission
117,Dansky1,84472007,Extended Emmissions,Symmetrical Structure
118,Dansky1,84472576,Other,Underlying emission
119,Dansky1,84471541,Other,Underlying emission
120,Dansky1,84471861,Simple Pulse,Underlying emission
121,Dansky1,84472701,Other,Underlying emission
122,Dansky1,84471722,Simple Pulse,Symmetrical Structure
123,Dansky1,84471869,Extended Emmissions,Nothing found
124,Dansky1,84472238,Other,Underlying emission
125,Dansky1,84471613,Extended Emmissions,Underlying emission
126,Dansky1,84472138,Simple Pulse,Symmetrical Structure
127,Dansky1,84472256,Simple Pulse,Nothing found
128,Dansky1,84471831,Other,Underlying emission
129,Dansky1,84472715,Simple Pulse,Nothing found
130,Dansky1,84472252,Extended Emmissions,Symmetrical Structure
131,Dansky1,84472068,Other,Underlying emission
132,Dansky1,84471999,Other,Rapid Varying pulses
133,Dansky1,84472381,Simple Pulse,Symmetrical Structure
134,Dansky1,84472664,Other,Underlying emission
135,Dansky1,84472488,Other,Underlying emission
136,AmyLien,84472760,Other,Underlying emission
137,Shigeru,84471812,Extended Emmissions,Underlying emission
138,Dansky1,84471882,Other,Underlying emission
139,AmyLien,84472721,Simple Pulse,Underlying emission
140,Dansky1,84471907,Simple Pulse,Nothing found
141,AmyLien,84471961,Simple Pulse,Underlying emission
142,Shigeru,84471744,Extended Emmissions,Underlying emission
143,Shigeru,84472639,Other,Fast.R Slow.D
144,Dansky1,84471858,Extended Emmissions,Underlying emission
145,Dansky1,84471743,Extended Emmissions,Fast.R Slow.D
146,Dansky1,84471563,Other,Nothing found
147,Dansky1,84472597,Other,Underlying emission
148,Dansky1,84472575,Extended Emmissions,Underlying emission
149,Dansky1,84471937,Other,Underlying emission
150,Dansky1,84471573,Other,Underlying emission
151,Sovanacharya,84472413,Simple Pulse,Fast.R Slow.D
152,Sovanacharya,84472489,Other,Nothing found
153,Sovanacharya,84471609,Other,Fast.R Slow.D
154,Sovanacharya,84472233,Extended Emmissions,Fast.R Slow.D
155,Sovanacharya,84472167,Extended Emmissions,Underlying emission
156,Sovanacharya,84472484,Extended Emmissions,Fast.R Slow.D
157,Sovanacharya,84471661,Simple Pulse,Nothing found
158,Sovanacharya,84471867,Simple Pulse,Fast.R Slow.D
159,Sovanacharya,84471893,Extended Emmissions,Rapid Varying pulses
160,Sovanacharya,84471992,Extended Emmissions,Rapid Varying pulses
161,Sovanacharya,84471843,Extended Emmissions,Rapid Varying pulses
162,Sovanacharya,84471595,Simple Pulse,Fast.R Slow.D
163,Dansky1,84472554,Extended Emmissions,Underlying emission
164,Dansky1,84472705,Other,Nothing found
165,Dansky1,84471569,Other,Underlying emission
166,Dansky1,84472212,Other,Nothing found
167,Dansky1,84471793,Other,Underlying emission
168,Dansky1,84471513,Extended Emmissions,Underlying emission
169,Dansky1,84471846,Other,Underlying emission
170,Dansky1,84471871,Other,Underlying emission
171,Dansky1,84472802,Other,Underlying emission
172,Dansky1,84471588,Other,Underlying emission
173,Dansky1,84472282,Other,Underlying emission
174,Dansky1,84472049,Extended Emmissions,Fast.R Slow.D
175,Sovanacharya,85799854,Simple Pulse,Underlying emission
176,Sovanacharya,85799637,Simple Pulse,Underlying emission
177,marckuchner,85799703,Simple Pulse,Fast.R Slow.D
178,not-logged-in-af4d2686f95c01951b43,85799663,Simple Pulse,Fast.R Slow.D
179,not-logged-in-af4d2686f95c01951b43,85799576,Simple Pulse,Fast.R Slow.D
180,not-logged-in-af4d2686f95c01951b43,85799785,Other,Nothing found
181,AmyLien,85799720,Simple Pulse,Symmetrical Structure
182,LukeM714,85799860,Simple Pulse,Symmetrical Structure
183,LukeM714,85799843,Extended Emmissions,Rapid Varying pulses
184,LukeM714,85799819,Extended Emmissions,Rapid Varying pulses
185,LukeM714,85799734,Other,Rapid Varying pulses
186,LukeM714,85799692,Extended Emmissions,Underlying emission
187,LukeM714,85799635,Extended Emmissions,Rapid Varying pulses
188,LukeM714,85799742,Extended Emmissions,Underlying emission
189,LukeM714,85799878,Extended Emmissions,Rapid Varying pulses
190,LukeM714,85799593,Extended Emmissions,Symmetrical Structure
191,LukeM714,85799715,Extended Emmissions,Rapid Varying pulses
192,LukeM714,85799789,Simple Pulse,Nothing found
193,LukeM714,85799782,Extended Emmissions,Rapid Varying pulses
194,LukeM714,85799654,Simple Pulse,Nothing found
195,LukeM714,85799832,Simple Pulse,Nothing found
196,LukeM714,85799828,Extended Emmissions,Fast.R Slow.D
197,LukeM714,85799848,Simple Pulse,Nothing found
198,LukeM714,85799788,Extended Emmissions,Rapid Varying pulses
199,LukeM714,85799876,Simple Pulse,Nothing found
200,LukeM714,85799688,Extended Emmissions,Underlying emission
201,LukeM714,85799720,Extended Emmissions,Rapid Varying pulses
202,LukeM714,85799830,Extended Emmissions,Underlying emission
203,LukeM714,85799598,Extended Emmissions,Underlying emission
204,LukeM714,85799708,Simple Pulse,Nothing found
205,LukeM714,85799591,Extended Emmissions,Symmetrical Structure
206,katkurilov,85799692,Other,Symmetrical Structure
207,AmyLien,85799811,Other,Rapid Varying pulses
208,AmyLien,90377098,Other,Rapid Varying pulses
209,Sovanacharya,90376895,Extended Emmissions,Rapid Varying pulses
210,Sovanacharya,90376940,Simple Pulse,Symmetrical Structure
211,Sovanacharya,90376879,Extended Emmissions,Symmetrical Structure
212,not-logged-in-f4dc425d5df4b7ceaceb,90376867,Extended Emmissions,Symmetrical Structure
213,not-logged-in-f4dc425d5df4b7ceaceb,90376952,Other,Rapid Varying pulses
214,not-logged-in-f4dc425d5df4b7ceaceb,90376891,Simple Pulse,Nothing found
215,not-logged-in-f4dc425d5df4b7ceaceb,90376908,Extended Emmissions,Fast.R Slow.D
216,Marcossilva,90376950,Simple Pulse,Symmetrical Structure
217,SebastianReisch,90376916,Extended Emmissions,Nothing found
218,SebastianReisch,90376908,Simple Pulse,Symmetrical Structure
