Number,Workflow,BurstID,Simple,Extended,Other,Verify,Follow
1,22306,90376864,11,1,3,Simple,"[2, 11, 1, 0, 1]"
2,22306,90376865,9,4,3,,"[8, 5, 1, 0, 4]"
3,22306,90376866,6,7,2,,"[6, 7, 4, 0, 1]"
4,22306,90376867,1,9,4,,"[6, 3, 2, 0, 2]"
5,22306,90376868,5,5,7,,"[4, 9, 4, 0, 2]"
6,22306,90376869,12,3,1,Simple,"[0, 1, 11, 0, 4]"
7,22306,90376870,6,9,0,,"[4, 3, 8, 0, 0]"
8,22306,90376871,4,7,5,,"[8, 5, 1, 0, 0]"
9,22306,90376872,9,4,2,,"[2, 7, 1, 0, 6]"
10,22306,90376873,2,7,7,,"[6, 3, 1, 0, 4]"
11,22306,90376874,11,4,1,Simple,"[3, 4, 10, 0, 0]"
12,22306,90376875,3,11,3,Extended,"[5, 8, 3, 0, 2]"
13,22306,90376876,2,5,8,,"[3, 2, 0, 0, 7]"
14,22306,90376877,2,7,7,,"[6, 3, 1, 0, 6]"
15,22306,90376878,14,1,0,Simple,"[1, 9, 3, 0, 2]"
16,22306,90376879,7,5,3,,"[5, 5, 0, 0, 6]"
17,22306,90376880,5,4,6,,"[3, 4, 2, 0, 5]"
18,22306,90376881,4,4,8,,"[4, 4, 4, 0, 1]"
19,22306,90376882,7,8,0,,"[2, 0, 11, 0, 2]"
20,22306,90376883,4,8,4,,"[4, 2, 2, 0, 2]"
21,22306,90376884,1,1,13,Other,"[3, 1, 2, 0, 6]"
22,22306,90376885,2,13,1,Extended,"[6, 2, 7, 0, 4]"
23,22306,90376886,2,8,5,,"[4, 2, 5, 0, 1]"
24,22306,90376887,9,4,2,,"[6, 6, 1, 0, 3]"
25,22306,90376888,4,9,2,,"[8, 6, 1, 0, 0]"
26,22306,90376889,15,0,0,Simple,"[1, 8, 2, 0, 5]"
27,22306,90376890,8,6,2,,"[5, 2, 9, 0, 1]"
28,22306,90376891,7,4,2,,"[2, 5, 1, 0, 5]"
29,22306,90376892,7,2,7,,"[2, 2, 1, 0, 10]"
30,22306,90376893,7,5,3,,"[5, 4, 0, 0, 1]"
31,22306,90376895,3,8,3,,"[6, 8, 2, 0, 0]"
32,22306,90376896,5,3,7,,"[3, 7, 5, 0, 1]"
33,22306,90376897,6,7,2,,"[2, 3, 7, 0, 3]"
34,22306,90376898,2,12,2,Extended,"[5, 1, 7, 0, 0]"
35,22306,90376899,4,2,9,,"[7, 4, 2, 0, 3]"
36,22306,90376900,2,7,6,,"[5, 5, 4, 0, 0]"
37,22306,90376901,3,3,10,,"[1, 3, 0, 0, 8]"
38,22306,90376902,8,7,1,,"[3, 2, 9, 0, 1]"
39,22306,90376903,8,6,1,,"[7, 1, 7, 0, 2]"
40,22306,90376904,3,11,1,Extended,"[6, 2, 10, 0, 0]"
41,22306,90376905,3,9,2,,"[4, 2, 7, 0, 1]"
42,22306,90376906,3,5,7,,"[7, 1, 4, 0, 3]"
43,22306,90376907,3,11,1,Extended,"[3, 2, 8, 0, 1]"
44,22306,90376908,4,7,2,,"[6, 2, 6, 0, 0]"
45,22306,90376909,8,4,4,,"[3, 9, 3, 0, 2]"
46,22306,90376910,5,8,2,,"[4, 6, 6, 0, 0]"
47,22306,90376911,2,7,6,,"[6, 3, 6, 0, 0]"
48,22306,90376912,2,6,7,,"[3, 2, 2, 0, 6]"
49,22306,90376913,4,10,1,,"[4, 2, 9, 0, 0]"
50,22306,90376914,6,7,3,,"[11, 5, 1, 0, 0]"
51,22306,90376915,8,6,2,,"[1, 8, 4, 0, 2]"
52,22306,90376916,3,9,3,,"[1, 4, 7, 0, 2]"
53,22306,90376917,14,0,2,Simple,"[3, 9, 0, 0, 4]"
54,22306,90376918,12,2,1,Simple,"[3, 6, 5, 0, 2]"
55,22306,90376919,9,2,4,,"[3, 5, 1, 0, 1]"
56,22306,90376920,10,5,1,,"[3, 2, 9, 0, 2]"
57,22306,90376921,10,4,1,,"[2, 5, 7, 0, 2]"
58,22306,90376922,12,2,1,Simple,"[2, 3, 6, 0, 6]"
59,22306,90376923,4,5,6,,"[6, 3, 3, 0, 2]"
60,22306,90376924,4,8,4,,"[3, 3, 6, 0, 4]"
61,22306,90376925,3,6,6,,"[3, 2, 2, 0, 2]"
62,22306,90376926,1,13,2,Extended,"[5, 0, 5, 0, 3]"
63,22306,90376927,4,9,2,,"[3, 1, 13, 0, 0]"
64,22306,90376928,9,2,5,,"[2, 5, 0, 0, 5]"
65,22306,90376929,3,4,8,,"[4, 2, 7, 0, 2]"
66,22306,90376931,10,2,4,,"[3, 13, 1, 0, 0]"
67,22306,90376932,5,8,2,,"[4, 5, 5, 0, 0]"
68,22306,90376933,4,6,6,,"[8, 8, 2, 0, 0]"
69,22306,90376934,16,1,0,Simple,"[3, 6, 5, 0, 3]"
70,22306,90376935,2,11,3,Extended,"[11, 0, 8, 0, 1]"
71,22306,90376936,13,2,0,Simple,"[2, 6, 3, 0, 4]"
72,22306,90376937,11,4,0,Simple,"[5, 5, 2, 0, 3]"
73,22306,90376938,13,0,2,Simple,"[4, 10, 2, 0, 1]"
74,22306,90376939,4,8,3,,"[6, 3, 6, 0, 3]"
75,22306,90376940,10,2,2,,"[1, 9, 1, 0, 3]"
76,22306,90376941,14,1,0,Simple,"[1, 7, 1, 0, 7]"
77,22306,90376942,13,0,2,Simple,"[2, 4, 4, 0, 6]"
78,22306,90376943,4,9,2,,"[3, 5, 5, 0, 0]"
79,22306,90376944,2,11,2,Extended,"[3, 4, 4, 0, 2]"
80,22306,90376945,4,10,2,,"[4, 1, 11, 0, 2]"
81,22306,90376946,13,1,1,Simple,"[2, 8, 0, 0, 7]"
82,22306,90376947,10,5,0,,"[1, 4, 9, 0, 1]"
83,22306,90376948,11,1,3,Simple,"[2, 5, 1, 0, 6]"
84,22306,90376949,6,3,6,,"[7, 8, 2, 0, 0]"
85,22306,90376950,13,0,2,Simple,"[2, 12, 1, 0, 1]"
86,22306,90376951,7,7,1,,"[1, 2, 11, 0, 1]"
87,22306,90376952,0,11,3,Extended,"[9, 2, 4, 0, 0]"
88,22306,90376953,11,2,2,Simple,"[2, 12, 0, 0, 2]"
89,22306,90376954,8,1,6,,"[1, 7, 0, 0, 7]"
90,22306,90376955,6,6,3,,"[6, 8, 6, 0, 0]"
91,22306,90376956,3,11,1,Extended,"[8, 1, 7, 0, 0]"
92,22306,90376957,15,1,0,Simple,"[3, 15, 1, 0, 0]"
93,22306,90376958,8,3,4,,"[2, 7, 2, 0, 4]"
94,22306,90376959,11,2,2,Simple,"[1, 4, 6, 0, 3]"
95,22306,90376960,2,13,0,Extended,"[8, 3, 7, 0, 0]"
96,22306,90376961,2,7,7,,"[6, 2, 3, 0, 4]"
97,22306,90376962,2,0,13,Other,"[0, 0, 0, 0, 12]"
98,22306,90376963,14,1,1,Simple,"[0, 6, 3, 0, 6]"
99,22306,90376964,10,4,2,,"[8, 6, 1, 0, 1]"
100,22306,90376965,6,10,1,,"[8, 5, 4, 0, 1]"
